reason=iogpu-error-getter-102 pid=69624 command_buffer=0x600e9a100 requested_serial=12 matched_serial=12 oldest=1 newest=12
serial=1 life_event_serial=34 sequence=1 descriptor=0 fixed=1 descriptor_pointer=0x600010630 command_buffer=0x600112300 storage=0x600216000 matched=NO marked=NO serial_marked=NO pre_commands=2112 pre_segments=304 post_commands=2080 post_segments=304
serial=2 life_event_serial=51 sequence=2 descriptor=0 fixed=1 descriptor_pointer=0x6000114a0 command_buffer=0x600114980 storage=0x600219400 matched=NO marked=NO serial_marked=NO pre_commands=2160 pre_segments=328 post_commands=2128 post_segments=328
serial=3 life_event_serial=53 sequence=4 descriptor=0 fixed=1 descriptor_pointer=0x600abae90 command_buffer=0x600115b00 storage=0x60021a800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=4 life_event_serial=55 sequence=6 descriptor=0 fixed=1 descriptor_pointer=0x6009e1950 command_buffer=0x600115e80 storage=0x600219400 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=5 life_event_serial=56 sequence=8 descriptor=0 fixed=1 descriptor_pointer=0x6009e51c0 command_buffer=0x600116c80 storage=0x60021ac00 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=6 life_event_serial=73 sequence=9 descriptor=2 fixed=1 descriptor_pointer=0x6009e1950 command_buffer=0x600114980 storage=0x600216000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=7 life_event_serial=73 sequence=9 descriptor=6 fixed=1 descriptor_pointer=0x600abaec0 command_buffer=0x600117380 storage=0x60021b000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=8 life_event_serial=75 sequence=10 descriptor=2 fixed=1 descriptor_pointer=0x600abaf50 command_buffer=0x600115e80 storage=0x60021a800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=9 life_event_serial=75 sequence=10 descriptor=6 fixed=1 descriptor_pointer=0x6009e1950 command_buffer=0x600118180 storage=0x600219800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=10 life_event_serial=126 sequence=12 descriptor=0 fixed=17 descriptor_pointer=0x600c5c750 command_buffer=0x600117a80 storage=0x60021b000 matched=NO marked=NO serial_marked=NO pre_commands=34416 pre_segments=5104 post_commands=33888 post_segments=5104
serial=11 life_event_serial=134 sequence=13 descriptor=0 fixed=16 descriptor_pointer=0x600c5cc00 command_buffer=0x600e94980 storage=0x600219800 matched=NO marked=NO serial_marked=NO pre_commands=33792 pre_segments=4688 post_commands=33280 post_segments=4688
serial=12 life_event_serial=134 sequence=14 descriptor=0 fixed=0 descriptor_pointer=0x600c5c750 command_buffer=0x600e9a100 storage=0x600216000 matched=YES marked=NO serial_marked=NO pre_commands=4248 pre_segments=680 post_commands=4248 post_segments=680
