reason=iogpu-error-getter-102 pid=70663 command_buffer=0x6013a1500 requested_serial=18 matched_serial=18 oldest=1 newest=18
serial=1 life_event_serial=32 sequence=1 descriptor=0 fixed=1 descriptor_pointer=0x6009d5760 command_buffer=0x600222300 storage=0x6001a6000 matched=NO marked=NO serial_marked=NO pre_commands=2112 pre_segments=304 post_commands=2080 post_segments=304
serial=2 life_event_serial=52 sequence=2 descriptor=0 fixed=1 descriptor_pointer=0x6009d1ad0 command_buffer=0x600224980 storage=0x6001aa000 matched=NO marked=NO serial_marked=NO pre_commands=2160 pre_segments=328 post_commands=2128 post_segments=328
serial=3 life_event_serial=70 sequence=4 descriptor=0 fixed=1 descriptor_pointer=0x600acba00 command_buffer=0x600225b00 storage=0x6001aa800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=4 life_event_serial=73 sequence=5 descriptor=2 fixed=1 descriptor_pointer=0x600acb4f0 command_buffer=0x600225e80 storage=0x6001aa000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=5 life_event_serial=73 sequence=5 descriptor=6 fixed=1 descriptor_pointer=0x6009d1a70 command_buffer=0x600226c80 storage=0x6001aac00 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=6 life_event_serial=74 sequence=6 descriptor=2 fixed=1 descriptor_pointer=0x6009d19e0 command_buffer=0x600224980 storage=0x6001a6000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=7 life_event_serial=74 sequence=6 descriptor=6 fixed=1 descriptor_pointer=0x6009d1980 command_buffer=0x600227380 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=8 life_event_serial=75 sequence=7 descriptor=2 fixed=1 descriptor_pointer=0x6009d1980 command_buffer=0x600225e80 storage=0x6001aa800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=9 life_event_serial=76 sequence=8 descriptor=2 fixed=1 descriptor_pointer=0x6009d1a70 command_buffer=0x600227a80 storage=0x6001a6000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=10 life_event_serial=125 sequence=10 descriptor=0 fixed=17 descriptor_pointer=0x600c3e4c0 command_buffer=0x600228880 storage=0x6001aa800 matched=NO marked=NO serial_marked=NO pre_commands=34416 pre_segments=5104 post_commands=33888 post_segments=5104
serial=11 life_event_serial=133 sequence=11 descriptor=0 fixed=16 descriptor_pointer=0x600c3e4c0 command_buffer=0x600ee5080 storage=0x6001ac800 matched=NO marked=NO serial_marked=NO pre_commands=33792 pre_segments=4688 post_commands=33280 post_segments=4688
serial=12 life_event_serial=134 sequence=12 descriptor=0 fixed=2 descriptor_pointer=0x600c3d1a0 command_buffer=0x600eea800 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=4248 pre_segments=680 post_commands=4184 post_segments=680
serial=13 life_event_serial=139 sequence=13 descriptor=0 fixed=2 descriptor_pointer=0x600c3e4c0 command_buffer=0x600eef180 storage=0x6001ad000 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=14 life_event_serial=144 sequence=14 descriptor=2 fixed=2 descriptor_pointer=0x6010d0d80 command_buffer=0x600eee380 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=15 life_event_serial=147 sequence=16 descriptor=0 fixed=2 descriptor_pointer=0x6010d0d80 command_buffer=0x600eef880 storage=0x6001ac800 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=16 life_event_serial=150 sequence=18 descriptor=0 fixed=2 descriptor_pointer=0x6010d0d80 command_buffer=0x6013a0a80 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=17 life_event_serial=153 sequence=19 descriptor=2 fixed=2 descriptor_pointer=0x600c3d1a0 command_buffer=0x6013a0700 storage=0x6001ac800 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=18 life_event_serial=155 sequence=20 descriptor=2 fixed=0 descriptor_pointer=0x6010d4080 command_buffer=0x6013a1500 storage=0x6001ab000 matched=YES marked=NO serial_marked=NO pre_commands=2136 pre_segments=392 post_commands=2136 post_segments=392
