reason=iogpu-error-getter-other pid=70663 command_buffer=0x6013abd00 requested_serial=46 matched_serial=46 oldest=1 newest=46
serial=1 life_event_serial=32 sequence=1 descriptor=0 fixed=1 descriptor_pointer=0x6009d5760 command_buffer=0x600222300 storage=0x6001a6000 matched=NO marked=NO serial_marked=NO pre_commands=2112 pre_segments=304 post_commands=2080 post_segments=304
serial=2 life_event_serial=52 sequence=2 descriptor=0 fixed=1 descriptor_pointer=0x6009d1ad0 command_buffer=0x600224980 storage=0x6001aa000 matched=NO marked=NO serial_marked=NO pre_commands=2160 pre_segments=328 post_commands=2128 post_segments=328
serial=3 life_event_serial=70 sequence=4 descriptor=0 fixed=1 descriptor_pointer=0x600acba00 command_buffer=0x600225b00 storage=0x6001aa800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=4 life_event_serial=73 sequence=5 descriptor=2 fixed=1 descriptor_pointer=0x600acb4f0 command_buffer=0x600225e80 storage=0x6001aa000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=5 life_event_serial=73 sequence=5 descriptor=6 fixed=1 descriptor_pointer=0x6009d1a70 command_buffer=0x600226c80 storage=0x6001aac00 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=6 life_event_serial=74 sequence=6 descriptor=2 fixed=1 descriptor_pointer=0x6009d19e0 command_buffer=0x600224980 storage=0x6001a6000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=7 life_event_serial=74 sequence=6 descriptor=6 fixed=1 descriptor_pointer=0x6009d1980 command_buffer=0x600227380 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=8 life_event_serial=75 sequence=7 descriptor=2 fixed=1 descriptor_pointer=0x6009d1980 command_buffer=0x600225e80 storage=0x6001aa800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=9 life_event_serial=76 sequence=8 descriptor=2 fixed=1 descriptor_pointer=0x6009d1a70 command_buffer=0x600227a80 storage=0x6001a6000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=10 life_event_serial=125 sequence=10 descriptor=0 fixed=17 descriptor_pointer=0x600c3e4c0 command_buffer=0x600228880 storage=0x6001aa800 matched=NO marked=NO serial_marked=NO pre_commands=34416 pre_segments=5104 post_commands=33888 post_segments=5104
serial=11 life_event_serial=133 sequence=11 descriptor=0 fixed=16 descriptor_pointer=0x600c3e4c0 command_buffer=0x600ee5080 storage=0x6001ac800 matched=NO marked=NO serial_marked=NO pre_commands=33792 pre_segments=4688 post_commands=33280 post_segments=4688
serial=12 life_event_serial=134 sequence=12 descriptor=0 fixed=2 descriptor_pointer=0x600c3d1a0 command_buffer=0x600eea800 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=4248 pre_segments=680 post_commands=4184 post_segments=680
serial=13 life_event_serial=139 sequence=13 descriptor=0 fixed=2 descriptor_pointer=0x600c3e4c0 command_buffer=0x600eef180 storage=0x6001ad000 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=14 life_event_serial=144 sequence=14 descriptor=2 fixed=2 descriptor_pointer=0x6010d0d80 command_buffer=0x600eee380 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=15 life_event_serial=147 sequence=16 descriptor=0 fixed=2 descriptor_pointer=0x6010d0d80 command_buffer=0x600eef880 storage=0x6001ac800 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=16 life_event_serial=150 sequence=18 descriptor=0 fixed=2 descriptor_pointer=0x6010d0d80 command_buffer=0x6013a0a80 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=17 life_event_serial=153 sequence=19 descriptor=2 fixed=2 descriptor_pointer=0x600c3d1a0 command_buffer=0x6013a0700 storage=0x6001ac800 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=18 life_event_serial=155 sequence=20 descriptor=2 fixed=0 descriptor_pointer=0x6010d4080 command_buffer=0x6013a1500 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=392 post_commands=2136 post_segments=392
serial=19 life_event_serial=159 sequence=22 descriptor=0 fixed=8 descriptor_pointer=0x600c3d1a0 command_buffer=0x6013a2d80 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=16920 pre_segments=2472 post_commands=16664 post_segments=2472
serial=20 life_event_serial=167 sequence=24 descriptor=0 fixed=2 descriptor_pointer=0x600c3d1a0 command_buffer=0x6013a5080 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=21 life_event_serial=168 sequence=25 descriptor=2 fixed=0 descriptor_pointer=0x6010d4080 command_buffer=0x6013a6200 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=392 post_commands=2136 post_segments=392
serial=22 life_event_serial=172 sequence=28 descriptor=0 fixed=1 descriptor_pointer=0x6010d30f0 command_buffer=0x6013a6580 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=2112 pre_segments=368 post_commands=2080 post_segments=368
serial=23 life_event_serial=172 sequence=29 descriptor=0 fixed=16 descriptor_pointer=0x6010d5070 command_buffer=0x6013a7e00 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=33840 pre_segments=4816 post_commands=33328 post_segments=4816
serial=24 life_event_serial=189 sequence=30 descriptor=0 fixed=16 descriptor_pointer=0x6010d5070 command_buffer=0x6013a8c00 storage=0x6001ae400 matched=NO marked=NO serial_marked=NO pre_commands=33816 pre_segments=4776 post_commands=33304 post_segments=4776
serial=25 life_event_serial=189 sequence=31 descriptor=0 fixed=1 descriptor_pointer=0x6010d50a0 command_buffer=0x6013a9680 storage=0x6001ae800 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=26 life_event_serial=191 sequence=32 descriptor=0 fixed=1 descriptor_pointer=0x6010d30f0 command_buffer=0x6013a7e00 storage=0x6001ae800 matched=NO marked=NO serial_marked=NO pre_commands=2112 pre_segments=368 post_commands=2080 post_segments=368
serial=27 life_event_serial=191 sequence=32 descriptor=2 fixed=1 descriptor_pointer=0x6010d5070 command_buffer=0x6013a9a00 storage=0x6001ae400 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=28 life_event_serial=193 sequence=33 descriptor=0 fixed=1 descriptor_pointer=0x6010d50a0 command_buffer=0x6013a7e00 storage=0x6001adc00 matched=NO marked=NO serial_marked=NO pre_commands=2112 pre_segments=368 post_commands=2080 post_segments=368
serial=29 life_event_serial=193 sequence=33 descriptor=2 fixed=1 descriptor_pointer=0x600acc780 command_buffer=0x6013aab80 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=328 post_commands=2104 post_segments=328
serial=30 life_event_serial=194 sequence=35 descriptor=0 fixed=0 descriptor_pointer=0x600acc780 command_buffer=0x6013ab980 storage=0x6001af000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=392 post_commands=2136 post_segments=392
serial=31 life_event_serial=195 sequence=36 descriptor=2 fixed=0 descriptor_pointer=0x6010d50a0 command_buffer=0x6013abd00 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=392 post_commands=2136 post_segments=392
serial=32 life_event_serial=196 sequence=37 descriptor=0 fixed=0 descriptor_pointer=0x6010d5070 command_buffer=0x6013a6580 storage=0x6001af000 matched=NO marked=NO serial_marked=NO pre_commands=24 pre_segments=24 post_commands=24 post_segments=24
serial=33 life_event_serial=196 sequence=37 descriptor=2 fixed=0 descriptor_pointer=0x600acc780 command_buffer=0x6013abd00 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=24 pre_segments=24 post_commands=24 post_segments=24
serial=34 life_event_serial=196 sequence=39 descriptor=0 fixed=16 descriptor_pointer=0x600acc780 command_buffer=0x6013abd00 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=33840 pre_segments=4816 post_commands=33328 post_segments=4816
serial=35 life_event_serial=196 sequence=39 descriptor=2 fixed=16 descriptor_pointer=0x600accba0 command_buffer=0x6013a6580 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=33816 pre_segments=4776 post_commands=33304 post_segments=4776
serial=36 life_event_serial=197 sequence=41 descriptor=0 fixed=17 descriptor_pointer=0x600accba0 command_buffer=0x6013a2d80 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=34368 pre_segments=4976 post_commands=33840 post_segments=4976
serial=37 life_event_serial=197 sequence=41 descriptor=2 fixed=16 descriptor_pointer=0x6010d8e20 command_buffer=0x6013a9300 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=33816 pre_segments=4776 post_commands=33304 post_segments=4776
serial=38 life_event_serial=201 sequence=42 descriptor=2 fixed=2 descriptor_pointer=0x6010d8c40 command_buffer=0x6013a2d80 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=2664 pre_segments=616 post_commands=2616 post_segments=616
serial=39 life_event_serial=204 sequence=44 descriptor=0 fixed=16 descriptor_pointer=0x6010d8c40 command_buffer=0x6013a2d80 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=33840 pre_segments=4880 post_commands=33328 post_segments=4880
serial=40 life_event_serial=205 sequence=44 descriptor=2 fixed=16 descriptor_pointer=0x6010d66c0 command_buffer=0x6013aa800 storage=0x6001aa000 matched=NO marked=NO serial_marked=NO pre_commands=33792 pre_segments=4688 post_commands=33280 post_segments=4688
serial=41 life_event_serial=205 sequence=45 descriptor=0 fixed=2 descriptor_pointer=0x6010d8e20 command_buffer=0x6013a9d80 storage=0x6001af000 matched=NO marked=NO serial_marked=NO pre_commands=4248 pre_segments=680 post_commands=4184 post_segments=680
serial=42 life_event_serial=205 sequence=47 descriptor=0 fixed=0 descriptor_pointer=0x600c3ac50 command_buffer=0x6013a2d80 storage=0x6001aa000 matched=NO marked=NO serial_marked=NO pre_commands=2136 pre_segments=392 post_commands=2136 post_segments=392
serial=43 life_event_serial=207 sequence=49 descriptor=0 fixed=17 descriptor_pointer=0x6010d8e20 command_buffer=0x6013a2d80 storage=0x6001af000 matched=NO marked=NO serial_marked=NO pre_commands=34368 pre_segments=5104 post_commands=33840 post_segments=5104
serial=44 life_event_serial=208 sequence=49 descriptor=2 fixed=16 descriptor_pointer=0x6010d95a0 command_buffer=0x6013a9d80 storage=0x6001ae000 matched=NO marked=NO serial_marked=NO pre_commands=33792 pre_segments=4688 post_commands=33280 post_segments=4688
serial=45 life_event_serial=217 sequence=49 descriptor=4 fixed=2 descriptor_pointer=0x6010d66c0 command_buffer=0x6013aa800 storage=0x6001ab000 matched=NO marked=NO serial_marked=NO pre_commands=4248 pre_segments=680 post_commands=4184 post_segments=680
serial=46 life_event_serial=227 sequence=51 descriptor=0 fixed=1 descriptor_pointer=0x600accba0 command_buffer=0x6013abd00 storage=0x6001aec00 matched=YES marked=NO serial_marked=NO pre_commands=2664 pre_segments=552 post_commands=2648 post_segments=552
