reason=iogpu-error-getter-102 pid=43328 command_buffer=0x600edb280 requested_serial=12 matched_serial=12 oldest=1 newest=13 freeze_wait_ms=0
serial=1 life_event_serial=33 sequence=1 descriptor=0 fixed=1 descriptor_pointer=0x6009c7560 command_buffer=0x600222300 storage=0x6001a6800 matched=NO same_shape=NO commands=2080 saved=2080 truncated=NO segments=304 saved=304 truncated=NO
serial=2 life_event_serial=52 sequence=2 descriptor=0 fixed=1 descriptor_pointer=0x600aaf7b0 command_buffer=0x600224600 storage=0x6001a9400 matched=NO same_shape=NO commands=2128 saved=2128 truncated=NO segments=328 saved=328 truncated=NO
serial=3 life_event_serial=53 sequence=4 descriptor=0 fixed=1 descriptor_pointer=0x6009c7dd0 command_buffer=0x600225400 storage=0x6001a9400 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=4 life_event_serial=56 sequence=6 descriptor=0 fixed=1 descriptor_pointer=0x600aaf180 command_buffer=0x600225e80 storage=0x6001aa800 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=5 life_event_serial=57 sequence=8 descriptor=0 fixed=1 descriptor_pointer=0x600aafa50 command_buffer=0x600226580 storage=0x6001a6800 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=6 life_event_serial=58 sequence=10 descriptor=0 fixed=1 descriptor_pointer=0x600aafa50 command_buffer=0x600226900 storage=0x6001aa800 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=7 life_event_serial=58 sequence=12 descriptor=0 fixed=1 descriptor_pointer=0x600aaf180 command_buffer=0x600226c80 storage=0x6001aac00 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=8 life_event_serial=59 sequence=14 descriptor=0 fixed=1 descriptor_pointer=0x600aaf180 command_buffer=0x600225e80 storage=0x6001a6800 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=9 life_event_serial=60 sequence=16 descriptor=0 fixed=1 descriptor_pointer=0x600aafd20 command_buffer=0x600227a80 storage=0x6001a9400 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
serial=10 life_event_serial=120 sequence=18 descriptor=0 fixed=17 descriptor_pointer=0x600cb3990 command_buffer=0x600227e00 storage=0x6001a9400 matched=NO same_shape=NO commands=33888 saved=33888 truncated=NO segments=5040 saved=5040 truncated=NO
serial=11 life_event_serial=129 sequence=19 descriptor=0 fixed=16 descriptor_pointer=0x600cb6510 command_buffer=0x600ed5780 storage=0x6001ac800 matched=NO same_shape=NO commands=33280 saved=33280 truncated=NO segments=4816 saved=4816 truncated=NO
serial=12 life_event_serial=129 sequence=20 descriptor=0 fixed=0 descriptor_pointer=0x600cb4a10 command_buffer=0x600edb280 storage=0x6001adc00 matched=YES same_shape=NO commands=4248 saved=4248 truncated=NO segments=680 saved=680 truncated=NO
serial=13 life_event_serial=147 sequence=21 descriptor=2 fixed=1 descriptor_pointer=0x6009c7e00 command_buffer=0x600edfc00 storage=0x6001ad400 matched=NO same_shape=NO commands=2104 saved=2104 truncated=NO segments=328 saved=328 truncated=NO
